tc_name,lifetime,commit frequency
httpclient-cache/src/test/java/org/apache/http/impl/client/cache/TestResponseProtocolCompliance.java,1672,50.5
httpclient/src/test/java/org/apache/http/impl/conn/TestPoolingConnManagerNoServer.java,389,194.5
httpclient/src/test/java/org/apache/http/impl/execchain/TestProtocolExec.java,971,94.0
httpclient/src/test/java/org/apache/http/cookie/TestCookieOrigin.java,2424,344.0
httpclient/src/test/java/org/apache/http/impl/client/TestBasicCredentialsProvider.java,2424,134.0
httpclient/src/test/java/org/apache/http/impl/conn/TestSCMWithServer.java,953,64.0
httpclient/src/test/java/org/apache/http/cookie/TestCookiePolicy.java,1621,134.0
httpmime/src/test/java/org/apache/http/entity/mime/TestMultipartContentBody.java,2424,75.0
httpclient/src/test/java/org/apache/http/impl/client/execchain/TestConnectionHolder.java,0,0.0
httpclient-cache/src/test/java/org/apache/http/impl/client/cache/TestSizeLimitedResponseReader.java,1987,120.5
httpclient/src/test/java/org/apache/http/impl/auth/TestSPNegoScheme.java,202,202.0
httpclient-cache/src/test/java/org/apache/http/impl/client/cache/TestCacheInvalidator.java,1987,27.0
httpclient-cache/src/test/java/org/apache/http/client/cache/TestHttpCacheEntry.java,1861,83.0
httpclient/src/test/java/org/apache/http/impl/execchain/TestResponseEntityWrapper.java,1010,86.0
httpclient/src/test/java/org/apache/http/client/protocol/TestRequestAcceptEncoding.java,1695,170.0
module-client/src/test/java/org/apache/http/impl/conn/TestTSCCMWithServer.java,650,11.5
module-client/src/test/java/org/apache/http/impl/conn/TestAllConnImpl.java,529,125.0
httpclient/src/test/java/org/apache/http/client/protocol/TestRequestAddCookies.java,1692,79.0
module-client/src/test/java/org/apache/http/impl/client/TestDefaultConnKeepAliveStrategy.java,247,14.0
module-client/src/test/java/org/apache/http/impl/cookie/TestCookieRFC2109Spec.java,650,34.0
module-client/src/test/java/org/apache/http/conn/util/TestInetAddressUtils.java,509,509.0
httpclient/src/test/java/org/apache/http/client/methods/TestRequestBuilder.java,1104,87.5
httpclient/src/test/java/org/apache/http/impl/cookie/TestBasicClientCookie.java,2063,404.0
httpclient-cache/src/test/java/org/apache/http/client/cache/impl/TestCacheEntryGenerator.java,11,5.0
httpclient/src/test/java/org/apache/http/impl/conn/TestDefaultHttpResponseParser.java,1262,48.0
httpclient/src/test/java/org/apache/http/localserver/ResponseBasicUnauthorized.java,2396,208.0
httpclient/src/test/java/org/apache/http/impl/conn/TestHttpClientConnectionManagerBase.java,39,9.0
httpclient/src/test/java/org/apache/http/impl/client/TestContentCodings.java,1070,24.5
module-client/src/test/java/org/apache/http/impl/conn/tsccm/AwaitThread.java,419,23.0
httpclient/src/test/java/org/apache/http/impl/conn/TestTSCCMWithServer.java,953,37.5
httpclient/src/test/java/org/apache/http/impl/conn/ConnPoolBench.java,476,39.0
module-client/src/test/java/org/apache/http/client/methods/TestAllMethods.java,351,175.0
httpclient/src/test/java/org/apache/http/impl/conn/TestBasicConnManager.java,389,194.5
module-client/src/test/java/org/apache/http/impl/cookie/TestDateUtils.java,622,229.0
httpclient/src/test/java/org/apache/http/impl/client/integration/TestAbortHandling.java,1168,22.5
module-client/src/test/java/org/apache/http/mockup/SocketFactoryMockup.java,623,147.0
httpclient-cache/src/test/java/org/apache/http/impl/client/cache/TestHttpCacheEntrySerializers.java,1887,56.0
httpclient/src/test/java/org/apache/http/impl/client/TestAIMDBackoffManager.java,1555,17.0
httpmime/src/test/java/org/apache/http/entity/mime/FormBodyPartTest.java,146,146.0
httpclient-cache/src/test/java/org/apache/http/impl/client/cache/TestCacheKeyGenerator.java,1771,194.0
httpclient/src/test/java/org/apache/http/impl/client/integration/TestMalformedServerResponse.java,240,119.5
httpclient/src/test/java/org/apache/http/impl/client/integration/TestContentCodings.java,1168,87.0
httpclient/src/test/java/org/apache/http/impl/conn/ExecReqThread.java,1343,284.0
httpclient-cache/src/test/java/org/apache/http/impl/client/cache/TestProtocolRequirements.java,1987,6.5
module-client/src/test/java/org/apache/http/impl/conn/tsccm/TestSpuriousWakeup.java,387,15.5
httpclient/src/test/java/org/apache/http/impl/conn/TestPoolingConnManager.java,389,194.5
httpclient/src/test/java/org/apache/http/impl/client/integration/TestMinimalClientRequestExecution.java,1014,119.5
module-client/src/test/java/org/apache/http/impl/cookie/TestNetscapeCookieAttribHandlers.java,650,61.5
httpclient-cache/src/test/java/org/apache/http/impl/client/cache/memcached/TestMemcachedCacheEntryFactoryImpl.java,1372,18.0
httpclient/src/test/java/org/apache/http/impl/cookie/TestCookieRFC2109Spec.java,2274,149.5
httpclient/src/test/java/org/apache/http/impl/client/integration/IntegrationTestBase.java,678,87.0
module-client/src/test/java/org/apache/http/impl/client/TestDefaultClientRequestDirector.java,347,4.0
module-client/src/test/java/org/apache/http/conn/util/TestAllUtil.java,387,387.0
httpclient/src/test/java/org/apache/http/impl/client/TestHttpAuthenticator.java,470,11.0
httpclient/src/test/java/org/apache/http/impl/client/builder/TestRequestEntityWrapper.java,23,11.5
module-client/src/test/java/org/apache/http/client/utils/TestAllUtils.java,208,103.5
